Element,Element.Code,sector_number,category,meastype,measure,classification,type,gas,method,source,target,option
Indirect emissions (N2O) (Crop residues),72362,3.D.2,Farming,EM,Emissions,Agricultural Soils,Indirect N2O Emissions From Managed Soils,N2O,,,,
Residues (Crop residues),72392,3.D.1.4,Crop Residues,AD,N in crop residues returned to soils,Agricultural Soils,,no gas,,,,
Area,5026,3.D.1.6,Cultivation of Organic Soils,AREA,Area of cultivated organic soils,Agricultural Soils,,no gas,,,,
Emissions (N2O) (Cultivation of organic soils),72308,3.D.1.6,Cultivation of Organic Soils,EM,Emissions,Agricultural Soils,,N2O,,,,
Implied emission factor for N2O (Cultivation of organic soils),72298,3.D.1.6,Cultivation of Organic Soils,IEF,Implied Emission Factor,Agricultural Soils,,N2O,,,,
Biomass burned (dry matter),7245,3.F,Farming,AD,Total biomass burned,Field Burning of Agricultural Residues,,no gas,,,,
Burned Area,7246,3.F,Farming,AREA,Area burned,Field Burning of Agricultural Residues,,no gas,,,,
Emissions (CH4) (Burning crop residues),72257,3.F,Farming,EM,Emissions,Field Burning of Agricultural Residues,,CH4,,,,
Emissions (N2O) (Burning crop residues),72307,3.F,Farming,EM,Emissions,Field Burning of Agricultural Residues,,N2O,,,,
Implied emission factor for CH4 (Burning crop residues),72247,3.F,Farming,IEF,Implied Emission Factor,Field Burning of Agricultural Residues,,CH4,,,,
Implied emission factor for N2O (Burning crop residues),72297,3.F,Farming,IEF,Implied Emission Factor,Field Burning of Agricultural Residues,,N2O,,,,
Consumption in Agriculture,72184,,,,,,,,,,,
Consumption in Agriculture,72182,,,,,,,,,,,
Consumption in nutrients,5162,,,,,,,,,,,
