,meastype,gas,unit,sector_number,category,classification,source,target,type,subcategory,region,tdetail,mmsys,IPCC2006,Reference 2006,IPCC1997,Reference 1997,option,measure,variableUID,,,
251410,B0,no gas,m^3/kg VS,3.B.1.1,Bulls,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),B20A9CF5-080D-4867-BC71-EEF91C7E9B51,,,
252010,B0,no gas,m^3/kg VS,3.B.1.1,Bulls under 2 years,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),FA9F9160-37F2-4628-A799-36E1267F0775,,,
25262,B0,no gas,m^3/kg VS,3.B.1.1,Calves,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),AB125390-7234-4147-BA0B-B5D5386BD194,,,
279711,B0,no gas,m^3/kg VS,3.B.1.1,Cattle,CH4 Emissions,,,,,Eastern Europe,,,,,,,,CH4 producing potential (average),EUGIRP20160202-20160204-1616.24-2wz1gT,,,
279710,B0,no gas,m^3/kg VS,3.B.1.1,Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.24,Table 10A.4,0.24,Table B.1,,CH4 producing potential (average),4D980F78-A3CE-439E-86D9-552E90E4E1B4,,,
290210,B0,no gas,m^3/kg VS,3.B.1.1,Dairy Cows,CH4 Emissions,,,,,Eastern Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),5B4C21AC-5836-4C74-8528-A0E3C35A3236,,,
29395,B0,no gas,m^3/kg VS,3.B.1.1,Growing Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option B,CH4 producing potential (average),83E1D631-398C-4BD5-BD2C-B23730A77728,,,
2999,B0,no gas,m^3/kg VS,3.B.1.1,Mature Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option B,CH4 producing potential (average),CD67F8E6-0BB1-454C-AB58-17FCF6FAEC6B,,,
320710,B0,no gas,m^3/kg VS,3.B.1.1,Non-Dairy Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,,CH4 producing potential (average),3F509E60-E5F5-45CF-B2D2-39C3E15AC635,,,
332010,B0,no gas,m^3/kg VS,3.B.1.1,Other Cattle.Dairy cattle,CH4 Emissions,,,,,Eastern Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),BE77ED7A-3669-4E80-9044-D8A084E04F31,,,
33293,B0,no gas,m^3/kg VS,3.B.1.1,Other Cattle.Non-dairy cattle,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),10B6BA1B-8C95-43C4-9E65-CE5980965C32,,,
334210,B0,no gas,m^3/kg VS,3.B.1.1,Other cows,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),9EE6326B-1B70-4736-A076-C8C043831290,,,
336310,B0,no gas,m^3/kg VS,3.B.1.1,Other Mature Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option B,CH4 producing potential (average),809BDB70-1836-43C3-96EF-52AF491C3BAE,,,
339510,B0,no gas,m^3/kg VS,3.B.1.1,Suckler Cows,CH4 Emissions,,,,,Eastern Europe,,,0.24,Table 10A.4,0.24,Table B.1,Option C,CH4 producing potential (average),B75B0CC4-848D-4EFD-89E1-51BED21EE563,,,
340110,B0,no gas,m^3/kg VS,3.B.1.1,Young Cattle,CH4 Emissions,,,,,Eastern Europe,,,0.17,Table 10A.5,0.17,Table B.1,Option C,CH4 producing potential (average),,,,
349610,B0,no gas,m^3/kg VS,3.B.1.2,Animals for replacement,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),C3DE810B-9A51-4D0C-A479-8017A0F2A2BB,,,
350210,B0,no gas,m^3/kg VS,3.B.1.2,Ewes lowland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),9EEFFEB0-5D60-470B-8617-EB6F7DC85992,,,
350810,B0,no gas,m^3/kg VS,3.B.1.2,Ewes upland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),C0BC3C30-CA0A-47F3-BB3A-E4E548043D0A,,,
351910,B0,no gas,m^3/kg VS,3.B.1.2,Lambs,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),30FB5C43-6B7A-4465-9DA0-C5AC54148F6F,,,
352510,B0,no gas,m^3/kg VS,3.B.1.2,Lambs Lowland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),0DD340D4-EE38-4F1E-AF28-E1B67C4EA73F,,,
353110,B0,no gas,m^3/kg VS,3.B.1.2,Lambs Upland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),8DC26F85-AE3C-47AA-B3CA-9AF6C3149E1E,,,
353710,B0,no gas,m^3/kg VS,3.B.1.2,Mature Ewes,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),A58C9E46-89FD-487F-8D1D-246A1E5285D5,,,
354810,B0,no gas,m^3/kg VS,3.B.1.2,Other mature Sheep,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),3BB9EE32-D168-4EB3-B179-90B9385D61DC,,,
355910,B0,no gas,m^3/kg VS,3.B.1.2,Rams lowland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),8944512B-73EA-42B8-9ED0-072461BCC36C,,,
356510,B0,no gas,m^3/kg VS,3.B.1.2,Rams Upland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),FC7BE3ED-D2C0-473E-A8EC-20488A59C317,,,
357810,B0,no gas,m^3/kg VS,3.B.1.2,Sheep,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),1F0A2813-EF28-4DF1-8DC4-5743FE47304F,,,
384310,B0,no gas,m^3/kg VS,3.B.1.2,Sheep over 1yr Lowland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),CEAE5B4A-A02B-484C-AD9A-F3B0374119C2,,,
384910,B0,no gas,m^3/kg VS,3.B.1.2,Sheep over 1yr Upland,CH4 Emissions,,,,,,,,0.19,Table 10A.9,0.19,Table B.7,,CH4 producing potential (average),BE83D818-4C5C-41E7-99BC-33364564590F,,,
3859,B0,no gas,m^3/kg VS,3.B.1.3,Boars,CH4 Emissions,,,,,,,,0.45,Table 10A.8,0.45,Table B.2,,CH4 producing potential (average),3B86A6AF-07A6-4A68-88D6-FA1A184CCBA5,,,
386510,B0,no gas,m^3/kg VS,3.B.1.3,Breeding Pigs,CH4 Emissions,,,,,,,,0.45,Table 10A.8,0.45,Table B.2,,CH4 producing potential (average),1BA5EC59-62E4-4271-9939-8F10CA3BF5BD,,,
3871,B0,no gas,m^3/kg VS,3.B.1.3,Breeding swine,CH4 Emissions,,,,,,,,0.45,Table 10A.8,0.45,Table B.2,,CH4 producing potential (average),540EBA76-0E07-434A-878F-88B309F3A906,,,
388310,B0,no gas,m^3/kg VS,3.B.1.3,Fattening Pigs,CH4 Emissions,,,,,,,,0.45,Table 10A.7,0.45,Table B.2,,CH4 producing potential (average),2237B5B3-5CA8-43D4-91A7-C0E9A49754F2,,,
388910,B0,no gas,m^3/kg VS,3.B.1.3,Gilts in Pig,CH4 Emissions,,,,,,,,0.45,Table 10A.7,0.45,Table B.2,,CH4 producing potential (average),6A729D11-3F53-4461-BD47-A88E0C4F8D9F,,,
389510,B0,no gas,m^3/kg VS,3.B.1.3,Gilts not yet Served,CH4 Emissions,,,,,,,,0.45,Table 10A.7,0.45,Table B.2,,CH4 producing potential (average),55F2B1B5-E74D-4C4F-B91D-38C88B9A5864,,,
390110,B0,no gas,m^3/kg VS,3.B.1.3,Market swine,CH4 Emissions,,,,,,,,0.45,Table 10A.7,0.45,Table B.2,,CH4 producing potential (average),51D651A0-1875-4C8C-8A70-42C9D95289F0,,,
3913,B0,no gas,m^3/kg VS,3.B.1.3,Other Sows for Breeding,CH4 Emissions,,,,,,,,0.45,Table 10A.8,0.45,Table B.2,,CH4 producing potential (average),5E7D38B1-CD9D-4E14-8659-02B44C475D1D,,,
3923,B0,no gas,m^3/kg VS,3.B.1.3,Pigs over 20 kg,CH4 Emissions,,,,,,,,0.45,Table 10A.7,0.45,Table B.2,,CH4 producing potential (average),68272844-D480-4565-B720-FC097A7635B3,,,
392910,B0,no gas,m^3/kg VS,3.B.1.3,Pigs under 20 kg,CH4 Emissions,,,,,,,,0.45,"Tables 10A.7, 10A.8",0.45,Table B.2,,CH4 producing potential (average),689EF101-C943-4A7C-83A3-6949C6D0086B,,,
393910,B0,no gas,m^3/kg VS,3.B.1.3,Sows in Pig,CH4 Emissions,,,,,,,,0.45,Table 10A.8,0.45,Table B.2,,CH4 producing potential (average),30CF5FE0-D618-46D8-922D-552C161D897A,,,
394610,B0,no gas,m^3/kg VS,3.B.1.3,Swine,CH4 Emissions,,,,,,,,0.45,"Tables 10A.7, 10A.8",0.45,Table B.2,,CH4 producing potential (average),FCEDE2C9-0E93-4B87-8833-BB5F65B3A44E,,,
42242,B0,no gas,m^3/kg VS,3.B.1.3,Swine unspecified,CH4 Emissions,,,,,,,,0.45,"Tables 10A.7, 10A.8",0.45,Table B.2,,CH4 producing potential (average),1482063D-1F66-4CD1-8AC9-6635E6CF3374,,,
43426,B0,no gas,m^3/kg VS,3.B.1.4.1,Buffalo,CH4 Emissions,,,,,,,,0.1,Table 10A.6,0.1,Table B.2,,CH4 producing potential (average),DEB419C3-B546-4F22-8A88-83CACA162D04,,,
43809,B0,no gas,m^3/kg VS,3.B.1.4.3,Deer,CH4 Emissions,,,,,,,,,,,,,CH4 producing potential (average),F9DF3A6B-EC48-43FF-A96C-8362A36A7E90,,,
44891,B0,no gas,m^3/kg VS,3.B.1.4.4,Goats,CH4 Emissions,,,,,,,,0.18,Table 10A.9,0.17,Table B.7,,CH4 producing potential (average),8F969F3C-EFF1-48ED-B19D-E6CBB1158556,,,
47027,B0,no gas,m^3/kg VS,3.B.1.4.5,Horses,CH4 Emissions,,,,,,,,0.3,Table 10A.9,0.33,Table B.7,,CH4 producing potential (average),B7BFA0F9-D7FB-499B-9CB3-CFA2591C17F9,,,
48532,B0,no gas,m^3/kg VS,3.B.1.4.6,Mules and Asses,CH4 Emissions,,,,,,,,0.33,Table 10A.9,0.33,Table B.7,,CH4 producing potential (average),24DC6536-0CA2-4D3F-B24E-48235A24AC24,,,
50261,B0,no gas,m^3/kg VS,3.B.1.4.7,Poultry,CH4 Emissions,,,,Layers,,,,0.39,Table 10A.9,0.32,Table B.7,,CH4 producing potential (average),72DA1E59-8FD5-4206-B3C0-ECBD8470ECE5,,,
50261,B0,no gas,m^3/kg VS,3.B.1.4.7,Poultry,CH4 Emissions,,,,Broilers,,,,0.36,Table 10A.9,0.32,Table B.7,,CH4 producing potential (average),,,,
50261,B0,no gas,m^3/kg VS,3.B.1.4.7,Poultry,CH4 Emissions,,,,Turkeys,,,,0.36,Table 10A.9,0.32,Table B.7,,CH4 producing potential (average),,,,
50261,B0,no gas,m^3/kg VS,3.B.1.4.7,Poultry,CH4 Emissions,,,,Ducks,,,,0.36,Table 10A.9,0.32,Table B.7,,CH4 producing potential (average),,,,
52207,B0,no gas,m^3/kg VS,3.B.1.4.8.1,Rabbit,CH4 Emissions,,,,,,,,0.32,Table 10A.9,,,,CH4 producing potential (average),DB9C748C-C0B7-454F-B171-7965299AC4DE,,,
526310,B0,no gas,m^3/kg VS,3.B.1.4.8.2,Reindeer,CH4 Emissions,,,,,,,,0.19,Table 10A.9,,,,CH4 producing potential (average),56649DAF-C3B0-4235-B712-98E1A98335E9,,,
52855,B0,no gas,m^3/kg VS,3.B.1.4.8.3,Ostrich,CH4 Emissions,,,,,,,,0.25,Table 10A.9,,,,CH4 producing potential (average),FC2F458A-9F4D-4B8C-A086-ED8882336EA9,,,
5318,B0,no gas,m^3/kg VS,3.B.1.4.8.4,Fur-bearing Animals,CH4 Emissions,,,,,,,,0.25,Table 10A.9,,,,CH4 producing potential (average),B6DB352E-64EC-4C75-91B1-A4C14D6BBD7B,,,
536410,B0,no gas,m^3/kg VS,3.B.1.4.8.5,Other Other Other Livestock,CH4 Emissions,,,,,,,,,,,,,CH4 producing potential (average),2B26CE89-8EFB-463D-8157-65F9E29D51CD,,,
26313,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Composting,Cool,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26425,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Digesters,Cool,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26572,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Liquid system,Cool,,,Western Europe,,,35.7,Table 10A.4,40,Table B.3,,Allocation by climate region,,,,
26947,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Other,Cool,,,Western Europe,,,0.5,Table 10A.4,1,Table B.3,,Allocation by climate region,,,,
27163,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Pasture  range and paddock,Cool,,,Western Europe,,,20,Table 10A.4,19,Table B.3,,Allocation by climate region,,,,
27526,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Solid storage and dry lot,Cool,,,Western Europe,,,36.8,Table 10A.4,18,Table B.3,,Allocation by climate region,,,,
26355,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Daily spread,Cool,,,Western Europe,,,7,Table 10A.4,20,Table B.3,,Allocation by climate region,,,,
270810,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Other,Temperate,,,Western Europe,,,0.5,Table 10A.4,1,Table B.3,,Allocation by climate region,,,,
27115,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Other,Warm,,,Western Europe,,,0.5,Table 10A.4,1,Table B.3,,Allocation by climate region,,,,
2745,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Pasture  range and paddock,Temperate,,,Western Europe,,,20,Table 10A.4,1,Table B.3,,Allocation by climate region,,,,
265210,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Digesters,Temperate,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
2684,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Liquid system,Temperate,,,Western Europe,,,35.7,Table 10A.4,40,Table B.3,,Allocation by climate region,,,,
2779,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Solid storage and dry lot,Temperate,,,Western Europe,,,36.8,Table 10A.4,18,Table B.3,,Allocation by climate region,,,,
261610,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Anaerobic lagoon,Cool,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
262210,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Anaerobic lagoon,Temperate,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26246,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Anaerobic lagoon,Warm,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
2626,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Burned for fuel or as waste,Cool,,,Western Europe,,,0,Table 10A.4,2,Table B.3,,Allocation by climate region,,,,
262810,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Burned for fuel or as waste,Temperate,,,Western Europe,,,0,Table 10A.4,2,Table B.3,,Allocation by climate region,,,,
2629,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Burned for fuel or as waste,Warm,,,Western Europe,,,0,Table 10A.4,2,Table B.3,,Allocation by climate region,,,,
26336,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Composting,Temperate,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26342,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Composting,Warm,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26394,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Daily spread,Temperate,,,Western Europe,,,7,Table 10A.4,20,Table B.3,,Allocation by climate region,,,,
2640,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Daily spread,Warm,,,Western Europe,,,7,Table 10A.4,20,Table B.3,,Allocation by climate region,,,,
26553,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Digesters,Warm,,,Western Europe,,,0,Table 10A.4,0,Table B.3,,Allocation by climate region,,,,
26893,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Liquid system,Warm,,,Western Europe,,,35.7,Table 10A.4,40,Table B.3,,Allocation by climate region,,,,
274810,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Pasture  range and paddock,Warm,,,Western Europe,,,20,Table 10A.4,19,Table B.3,,Allocation by climate region,,,,
27835,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,Tier 2,Solid storage and dry lot,Warm,,,Western Europe,,,36.8,Table 10A.4,18,Table B.3,,Allocation by climate region,,,,
289110,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,CH4 Emissions,,Cool,,,Western Europe,,,,,,,,Allocation by climate region,,,,
28989,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,CH4 Emissions,,Temperate,,,Western Europe,,,,,,,,Allocation by climate region,,,,
289910,CLIMA,no gas,%,3.B.1.1,Dairy Cattle,CH4 Emissions,,Warm,,,Western Europe,,,,,,,,Allocation by climate region,,,,
291210,CLIMA,no gas,%,3.B.1.1,Dairy Cows,CH4 Emissions,,Cool,,,Western Europe,,,,,,,Option C,Allocation by climate region,,,,
292610,CLIMA,no gas,%,3.B.1.1,Growing Cattle,Tier 2,Pasture  range and paddock,Cool,,,Western Europe,,,32,Table 10A.5,38,Table B.4,Option B,Allocation by climate region,,,,
2933,CLIMA,no gas,%,3.B.1.1,Growing Cattle,Tier 2,Solid storage and dry lot,Cool,,,Western Europe,,,39,Table 10A.5,0,Table B.4,Option B,Allocation by climate region,,,,
29162,CLIMA,no gas,%,3.B.1.1,Growing Cattle,Tier 2,Liquid system,Cool,,,Western Europe,,,25.2,Table 10A.5,50,Table B.4,Option B,Allocation by climate region,,,,
29213,CLIMA,no gas,%,3.B.1.1,Growing Cattle,Tier 2,Other,Cool,,,Western Europe,,,2,Table 10A.5,8,Table B.4,Option B,Allocation by climate region,,,,
29142,CLIMA,no gas,%,3.B.1.1,Growing Cattle,Tier 2,Digesters,Cool,,,Western Europe,,,0,Table 10A.5,0,Table B.4,Option B,Allocation by climate region,,,,
296810,CLIMA,no gas,%,3.B.1.1,Growing Cattle,CH4 Emissions,,Cool,,,Western Europe,,,,,,,Option B,Allocation by climate region,,,,
298510,CLIMA,no gas,%,3.B.1.1,Mature Dairy Cattle,Tier 2,Pasture  range and paddock,Cool,,,Western Europe,,,20,Table 10A.4,19,Table B.3,Option B,Allocation by climate region,,,,
29927,CLIMA,no gas,%,3.B.1.1,Mature Dairy Cattle,Tier 2,Solid storage and dry lot,Cool,,,Western Europe,,,36.8,Table 10A.4,18,Table B.3,Option B,Allocation by climate region,,,,
29744,CLIMA,no gas,%,3.B.1.1,Mature Dairy Cattle,Tier 2,Liquid system,Cool,,,Western Europe,,,35.7,Table 10A.4,40,Table B.3,Option B,Allocation by climate region,,,,
29722,CLIMA,no gas,%,3.B.1.1,Mature Dairy Cattle,Tier 2,Digesters,Cool,,,Western Europe,,,0,Table 10A.4,0,Table B.3,Option B,Allocation by climate region,,,,
302610,CLIMA,no gas,%,3.B.1.1,Mature Dairy Cattle,CH4 Emissions,,Cool,,,Western Europe,,,,,,,Option B,Allocation by climate region,,,,
30386,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Composting,Cool,,,Western Europe,,,0,Table 10A.5,,,,Allocation by climate region,,,,
305510,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Digesters,Cool,,,Western Europe,,,0,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
3078,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Liquid system,Cool,,,Western Europe,,,25.2,Table 10A.5,50,Table B.4,,Allocation by climate region,,,,
30957,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Other,Cool,,,Western Europe,,,2,Table 10A.5,8,Table B.4,,Allocation by climate region,,,,
313210,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Pasture  range and paddock,Cool,,,Western Europe,,,32,Table 10A.5,38,Table B.4,,Allocation by climate region,,,,
316210,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Solid storage and dry lot,Cool,,,Western Europe,,,39,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
30423,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Daily spread,Cool,,,Western Europe,,,1.8,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
31146,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Other,Temperate,,,Western Europe,,,2,Table 10A.5,8,Table B.4,,Allocation by climate region,,,,
314810,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Pasture  range and paddock,Temperate,,,Western Europe,,,32,Table 10A.5,38,Table B.4,,Allocation by climate region,,,,
304610,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Daily spread,Temperate,,,Western Europe,,,1.8,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
30502,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Daily spread,Warm,,,Western Europe,,,1.8,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
31554,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Pasture  range and paddock,Warm,,,Western Europe,,,32,Table 10A.5,38,Table B.4,,Allocation by climate region,,,,
3185,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Solid storage and dry lot,Temperate,,,Western Europe,,,39,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
319310,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Solid storage and dry lot,Warm,,,Western Europe,,,39,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
30616,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Digesters,Temperate,,,Western Europe,,,0,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
309110,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Liquid system,Temperate,,,Western Europe,,,25.2,Table 10A.5,50,Table B.4,,Allocation by climate region,,,,
3031,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Anaerobic lagoon,Cool,,,Western Europe,,,0,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
30321,CLIMA,no gas,%,3.B.1.1,Non-Dairy Cattle,Tier 2,Anaerobic lagoon,Temperate,,,Western Europe,,,0,Table 10A.5,0,Table B.4,,Allocation by climate region,,,,
